instance by feature,delta,theta,alpha,beta,gamma
500113-0-0,16.391172690449505,15.335715070922536,27.3889169052207,14.449459262591304,8.604118114448287
6001131-1-0,13.854780063336083,16.104633623167455,26.679731305589495,14.526875502033763,9.012386939447826
6001131-2-1,15.456428136829839,15.903418251055712,26.972282807170014,14.932346298822875,10.330376967592187
6001131-3-2,15.353212101277489,15.773670859878807,26.424540538548726,15.28624775517222,9.908369303147085
6001131-4-3,14.04923985926572,14.905738985777816,27.108226524331233,14.895318628040568,9.841091387146731
500113-5-1,14.232834461753978,16.267029902449142,26.6918687035674,14.565233481681537,8.908684759603656
500113-6-2,14.716006293440032,14.43654636168334,27.727438222233378,14.494860609909997,8.764570420452811
6001131-7-4,14.968192731730952,15.049380493668073,27.744977456107947,14.767187275024568,9.337616173288513
6001131-8-5,15.583236785226939,16.317520700186673,26.831388545180747,15.03240860808763,10.240889297947106
6001131-9-6,15.065008119200058,16.112516887452593,27.31928624870865,14.700800601427138,9.322560163300903
6001131-10-7,15.447849386716843,16.651388160909754,27.41531224414565,14.899272905288434,9.311035628569343
500113-11-3,16.319558662930866,16.225631587184385,26.549524404140747,13.491893406002623,7.922458982527509
500113-12-4,16.416466304879897,16.357873252025705,27.692252724285275,13.816122309978434,7.874852179707327
6001131-13-8,14.788426957441104,16.207919825808755,27.266902351849094,14.541080839532649,8.986861773092253
6001131-14-9,14.980300408119973,15.847699853703986,28.118564723381528,14.965757954134581,10.409970055931888
6001131-15-10,15.388820595508488,16.816547533540618,27.48613584282198,14.525024747910772,9.562603940304385
6001131-16-11,14.335517254783218,16.493087241433226,27.283461875802377,14.911982517221352,10.09533304748179
500113-17-5,16.565409879934563,17.206471899624784,26.990532111818673,13.395538203634308,6.470370504541807
500113-18-6,15.147054149706827,13.230105355117047,27.24517888626181,13.263317213616684,7.578846832767808
6001131-19-12,14.984298792140084,15.3772576635163,26.637135559812897,13.299317520531785,8.113637283710283
6001131-20-13,16.470089021427622,15.978541186127538,26.92848833927694,13.5671043282506,7.802708774732187
6001130-21-0,14.945394128409967,16.73425767585405,27.174527889708042,14.433125494893515,8.109325548534517
6001131-22-14,14.850256676110869,17.4698555863043,26.81020896638241,13.60259488702857,8.134512397183563
500113-23-7,16.12028304300494,17.663178996785074,27.175899205300297,13.900582530105385,8.299850989340031
500113-24-8,14.338736121162796,13.398288256914148,25.671603262561078,12.105817596969976,6.530813425095261
6001131-25-15,16.037473439810487,15.958769506634818,26.838242801036355,13.32367951364143,8.8939378070967
6001130-26-1,16.0938581376395,17.441221586568766,26.3245026864839,13.513178872095224,8.504553723085792
6001130-27-2,16.34976518632832,18.447946517432037,26.875707633581484,15.0437344965703,10.109955070876858
6001130-28-3,15.98260726612512,17.270469504214166,27.136194523419583,14.597254621513287,8.744557139509952
500113-29-9,13.796569553697216,13.834453708537504,24.49626425834224,12.991010746421274,8.630153457656927
500113-30-10,13.83678017701106,15.435624680854593,26.484298993649972,13.718415801651046,8.779760678683665
6001131-31-16,14.944595798347574,15.60273776985468,27.118268878895762,13.852178266168565,8.406647618695198
6001131-32-17,16.613289907971485,16.689094366910613,26.754722416693237,13.907239645402125,8.792654055040586
6001131-33-18,14.912130231528044,16.76587537250168,27.200596588072493,14.20962451310608,9.380397379464211
6001130-34-4,14.492399497978335,17.922437848800797,26.724533184849786,14.417929999072744,10.463315128704753
500113-35-11,15.96042631542296,15.788859390354697,26.652281312685442,13.205673690242813,8.93014564944293
500113-36-12,16.110293878344784,15.339591051771237,27.13223598489503,12.653712437028176,6.738725398083622
6001131-37-19,16.491302265468754,16.907214429878742,26.66640197845817,13.143652587135069,7.849410959061224
6001131-38-20,14.328520996628914,17.056463075883297,26.518373151655865,13.502614474074306,8.242632156779809
6001131-39-21,15.139328973282648,16.37784951986037,26.006004678867683,13.239335555497174,7.666059320784912
6001131-40-22,14.192920683027413,15.211205200306182,26.06746459487512,13.649492586504035,9.02115630317114
500113-41-13,17.277315416597084,17.23957872403464,27.31965950289801,14.677749646281814,8.188257247645653
500113-42-14,15.022427559884884,14.84510354072041,26.725867880151203,12.372503066127395,6.828094147158417
6001131-43-23,17.159780614755462,17.810594677029805,26.14682749540232,13.503534708353177,7.865354199093018
6001131-44-24,16.346032165309957,16.83647354201299,26.07043262589771,13.857355450236843,8.436504645861342
6001131-45-25,15.803663743667595,16.121639943546775,26.4906782534886,13.695174229057633,8.435915077350677
6001131-46-26,14.07510941923492,15.510166811278335,25.73718710059756,13.517787967579734,9.075881675662908
500113-47-15,14.545276829912734,14.452663253947788,25.99186228641844,13.416580967512708,7.183879763849511
500113-48-16,14.64822280225,16.114113132149523,26.6803747917646,12.945992912601193,6.876604297993873
6001131-49-27,16.921995298681086,18.80370993564281,27.142107623889153,13.56822341500749,8.405201883770644
6001131-50-28,14.025555381331031,16.251608616349206,26.146349950536845,14.127623115406701,9.56723594685928
6001131-51-29,14.691846799482846,17.65374407242321,25.73538428087612,13.60810092869785,8.894875913146153
6001131-52-30,14.509836333477242,16.67737725978097,25.681661059837328,13.782062845855396,8.731657092255398
500113-53-17,15.573070931738622,16.620480491602272,26.880043651749723,12.656783036707752,6.835815828466079
