instance by feature,delta,theta,alpha,beta,gamma
500105-0-0,5.244458979343658,3.1546951888124246,7.372474811042538,3.6905224087471455,2.4988890070421372
6001051-1-0,4.594320920823199,3.7201526655698243,9.321954536665903,4.265544519959286,4.050344851280391
6001051-2-1,7.569156983493319,5.4542472673518905,10.452938213579317,8.827944317608651,4.356403676112618
6001051-3-2,10.981769572168005,7.186834619648017,10.581585050705774,7.4062487924564655,6.225393459467863
6001051-4-3,10.881500744980377,10.013455188412928,10.550976713712096,8.0643874301365,6.309270865155557
500105-5-1,3.1892890340778033,2.7610929556084716,9.191334430568189,7.287309057605427,2.9230719028696552
500105-6-2,4.395134577286993,1.554602711224759,8.572094910030728,8.543976393032661,3.6888874997550882
6001051-7-4,6.641284133520775,3.4856678541041908,9.458295444516395,5.939122286947011,10.754029703127804
6001051-8-5,5.1190477493751665,5.888414109117531,8.657631935281927,5.2232396481969205,3.8749488446553926
6001051-9-6,3.959622778333788,5.684762481019923,9.363841914793154,6.203153050040876,4.005700651848914
6001051-10-7,5.570466346507567,4.64318087448777,6.055768775459904,5.175361547745005,5.516815077366571
500105-11-3,3.7963821705767558,3.3236749724618724,8.567194163336383,4.073885713107326,1.754293257257153
500105-12-4,5.658626057333592,3.6188631919841874,7.001297542395732,3.748498297556887,1.3183447812203546
6001051-13-8,6.515008839632062,5.028595252682222,7.061558643185602,3.676203986186136,2.7754053443619036
6001051-14-9,6.61652536399821,5.592760719225148,7.709435517302205,4.217633882401201,3.7545971959470585
6001051-15-10,3.5350252476012884,6.008683952981956,8.958824781680327,5.4395036629900355,2.7105108082016924
6001051-16-11,7.351043729706002,4.565295439957242,9.013736746813088,6.3633992310448155,6.439242534408711
500105-17-5,6.530994193161648,4.117638498925195,6.490130732318424,5.783545214940114,6.404478018722226
500105-18-6,5.896993382441645,4.107755414058841,8.45724266048825,2.5377078654028384,2.7907105884498447
6001051-19-12,6.493621449745319,5.487350689266705,7.992258860959664,3.8409663897056263,2.367668060435816
6001051-20-13,6.042025960201725,6.225459604480229,7.22496119771392,4.842311164348459,3.1448036260851975
6001051-21-14,7.576966256443219,5.313930222077966,8.088583592834961,4.3680616030024515,2.848895900353193
6001051-22-15,7.639648877155459,5.013086827923056,7.509848515643796,5.096244993833218,2.7180994562900858
500105-23-7,7.713032153156315,6.740447746413694,7.0298545982834755,4.654103847907325,2.9867439911201172
500105-24-8,6.149844309910139,1.5604732170312023,6.000374644701346,2.6944923629723476,1.1825826939333164
6001051-25-16,6.292402020648918,4.285813889978823,9.842898372284466,6.406234324461116,5.117910667222739
6001051-26-17,5.492118582431145,5.130068338234773,9.843568935865171,7.118224510571586,5.894631982931543
6001051-27-18,6.259904312081953,6.986523749665857,8.743517852270859,6.00191965236069,4.371516650951006
6001051-28-19,5.672210140448679,3.585039399704559,8.947015583856947,6.061215277620521,3.939004275870559
500105-29-9,3.9571703471799182,2.7327790251694575,7.815942351959137,6.032559850281754,5.700117379316165
500105-30-10,4.155843644440304,1.6533587606041305,7.191530773389451,2.1093535454008565,-0.2355722375232166
6001051-31-20,7.056824000123763,4.395988384950931,6.972880138895401,3.060038614866231,1.7571907106843345
6001051-32-21,6.521198331604866,8.115432160410476,10.710289703963294,5.24768597472961,2.7567492346799476
6001051-33-22,6.831708773441863,5.903118164844775,9.834813232303532,5.352022620231586,4.141636075434099
6001051-34-23,5.381608783268341,5.578172425439597,7.252857075104056,4.597176474732121,4.596720098219034
500105-35-11,4.338219640992156,0.8304580763833761,7.148950190905428,5.535454280575064,5.2298101842561735
500105-36-12,5.744485017438395,3.6837710033834594,6.739340486215,2.9959582270199676,0.776898923493432
6001051-37-24,6.026858910432281,4.428115549220033,6.733040773795563,3.3742443014298042,2.397825872619402
6001051-38-25,5.257500625039903,4.453136356995088,6.752944760192187,3.3188989183992788,4.207021911200162
6001051-39-26,6.787414295775927,7.376273712669402,7.330210124317093,4.43232270657311,2.4784625898312918
6001051-40-27,5.982481293634566,5.719165821954252,9.94922763610858,4.815760066779464,3.6276336926182147
500105-41-13,4.647226363688524,2.9908804887564715,7.483452579608913,2.996827708799488,1.7976829887881633
500105-42-14,6.7318372491535765,4.239305595170642,6.299442564097016,3.0623944363477715,3.563151805651234
6001051-43-28,3.2108173194385103,4.264407904519459,6.7821508926737515,3.758297719742844,1.3696900606092537
6001051-44-29,5.495727120774906,5.562017047527933,8.617382567888582,4.418742686921328,3.7864234078761174
6001051-45-30,5.295008111334395,2.644215467136141,7.74881195833834,3.821679774338062,2.9057279296088767
6001051-46-31,5.948865020193125,6.948702386090323,7.374994326328444,5.137471822380153,6.142896911213283
500105-47-15,6.717248840042208,5.125856692154373,6.991603287892508,4.782131495571592,4.319799886993879
500105-48-16,5.330510747203784,5.22227871640424,7.142438551046857,3.591078028908781,-0.08368133480658786
6001051-49-32,5.808752304047337,4.295734007484354,5.946137077195508,2.534834331027399,0.6933427885663976
6001051-50-33,5.604151495822693,7.503268057263104,6.022761380380942,5.217690128245097,2.587386679348444
6001051-51-34,7.145151130348941,4.05593385352957,8.2145212379758,7.661776975178764,8.034930615066509
6001051-52-35,7.023922160967575,3.9288278550247884,8.474362375617867,5.470605486338444,4.426662335931417
500105-53-17,4.65475197523272,6.76469621443107,10.22714485132786,5.34652111425888,2.162019461949106
