instance by feature,alpha
500105-0-0,23.460883958390347
6001051-1-0,27.805974391909764
6001051-2-1,26.97100930813442
6001051-3-2,27.976671524954316
6001051-4-3,27.897686198827135
500105-5-1,27.197102261145794
500105-6-2,26.310261027218942
6001051-7-4,27.90848468726386
6001051-8-5,28.01409953419196
6001051-9-6,27.96504147607392
6001051-10-7,26.27537773121689
500105-11-3,26.464038122807708
500105-12-4,27.150189340094226
6001051-13-8,26.47011947052914
6001051-14-9,27.360196168689697
6001051-15-10,26.96004605875979
6001051-16-11,26.830033726030436
500105-17-5,24.877828725801656
500105-18-6,27.882061302509847
6001051-19-12,25.976033776310857
6001051-20-13,25.99415885041716
6001051-21-14,26.779220131875515
6001051-22-15,25.91554753618257
500105-23-7,27.20909829260177
500105-24-8,25.77709386161758
6001051-25-16,27.440390459991047
6001051-26-17,26.90613358630854
6001051-27-18,28.42264289448692
6001051-28-19,26.974237859813808
500105-29-9,27.161893349743124
500105-30-10,28.188151914760457
6001051-31-20,27.054849555176105
6001051-32-21,27.25942428982847
6001051-33-22,27.361956768940043
6001051-34-23,26.67283406187021
500105-35-11,25.310741702478797
500105-36-12,26.272182304436644
6001051-37-24,26.583916826578278
6001051-38-25,24.37405298475719
6001051-39-26,25.489635380869736
6001051-40-27,27.649285212961153
500105-41-13,25.465804849323764
500105-42-14,25.926354105735857
6001051-43-28,25.280230996782283
6001051-44-29,26.959120501458234
6001051-45-30,28.12005343140317
6001051-46-31,26.91958492907102
500105-47-15,23.50961583581244
500105-48-16,26.416945652735475
6001051-49-32,26.662955466448395
6001051-50-33,26.658008342070236
6001051-51-34,26.814602138934802
6001051-52-35,26.642603061176374
500105-53-17,25.686725357899792
