instance by feature,workload
500109-0-0,0.10879208
6001090-1-0,0.162459754
6001090-2-1,0.157592375
6001091-3-0,0.166718721
6001091-4-1,0.287795138
500109-5-1,0.13704742
500109-6-2,0.105502082
6001091-7-2,0.112971358
6001091-8-3,0.158882327
6001091-9-4,0.172319593
6001091-10-5,0.186797758
500109-11-3,0.169423051
500109-12-4,0.150932421
6001091-13-6,0.199025711
6001091-14-7,0.161470659
6001091-15-8,0.253890721
6001091-16-9,0.172685058
500109-17-5,0.135971042
500109-18-6,0.176041543
6001091-19-10,0.14941178
6001091-20-11,0.193949023
6001091-21-12,0.204687201
6001091-22-13,0.333937973
500109-23-7,0.191096881
500109-24-8,0.13879415
6001091-25-14,0.240879973
6001091-26-15,0.218529378
6001091-27-16,0.248866323
6001091-28-17,0.156216416
500109-29-9,0.153571845
500109-30-10,0.082918953
6001091-31-18,0.136836315
6001091-32-19,0.233963459
6001091-33-20,0.234037651
6001091-34-21,0.1516327
500109-35-11,0.165619758
500109-36-12,0.040107754
6001091-37-22,0.222203145
6001091-38-23,0.235773749
6001091-39-24,0.201147455
6001091-40-25,0.251857396
500109-41-13,0.178740961
500109-42-14,0.109524216
6001091-43-26,0.256893337
6001091-44-27,0.32156167
6001090-45-2,0.16649092
6001090-46-3,0.225501881
500109-47-15,0.151872128
500109-48-16,0.104662898
6001091-49-28,0.198667492
6001091-50-29,0.244409955
6001091-51-30,0.228782374
6001091-52-31,0.167477029
500109-53-17,0.190280711
